% Moku:Go Oscilloscope
% Channel A (on)
% Channel B (off)
% Time span 1.000 ms, time offset 0.000 s, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output A (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output B (off) - Square, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, duty cycle 50.00 %
% 
% Acquired 2026-04-30 T 13:57:31 +0200
% Time (s), Channel A (Input A) (V)
-1.690080000000e-04, -1.221300e-03
-1.679520000000e-04, -1.221300e-03
-1.668960000000e-04, -1.221300e-03
-1.658400000000e-04, -1.221300e-03
-1.647840000000e-04, -1.221300e-03
-1.637280000000e-04, -1.221300e-03
-1.626720000000e-04, -1.221300e-03
-1.616160000000e-04, -1.221300e-03
-1.605600000000e-04, -1.221300e-03
-1.595040000000e-04, -1.221300e-03
-1.584480000000e-04, -1.221300e-03
-1.573920000000e-04, -2.442599e-03
-1.563360000000e-04, -1.221300e-03
-1.552800000000e-04, -2.442599e-03
-1.542240000000e-04, -1.221300e-03
-1.531680000000e-04, -1.221300e-03
-1.521120000000e-04, -2.442599e-03
-1.510560000000e-04, -1.221300e-03
-1.500000000000e-04, -1.221300e-03
-1.489440000000e-04, -1.221300e-03
-1.478880000000e-04, -1.221300e-03
-1.468320000000e-04, -1.221300e-03
-1.457760000000e-04, -1.221300e-03
-1.447200000000e-04, -1.221300e-03
-1.436640000000e-04, -1.221300e-03
-1.426080000000e-04, -1.221300e-03
-1.415520000000e-04, -1.221300e-03
-1.404960000000e-04, -1.221300e-03
-1.394400000000e-04, -1.221300e-03
-1.383840000000e-04, -1.221300e-03
-1.373280000000e-04, -1.221300e-03
-1.362720000000e-04, -1.221300e-03
-1.352160000000e-04, -1.221300e-03
-1.341600000000e-04, -2.442599e-03
-1.331040000000e-04, -2.442599e-03
-1.320480000000e-04, -1.221300e-03
-1.309920000000e-04, -1.221300e-03
-1.299360000000e-04, -1.221300e-03
-1.288800000000e-04, -1.221300e-03
-1.278240000000e-04, -1.221300e-03
-1.267680000000e-04, -1.221300e-03
-1.257120000000e-04, -1.221300e-03
-1.246560000000e-04, -1.221300e-03
-1.236000000000e-04, -1.221300e-03
-1.225440000000e-04, -1.221300e-03
-1.214880000000e-04, -1.221300e-03
-1.204320000000e-04, -1.221300e-03
-1.193760000000e-04, -1.221300e-03
-1.183200000000e-04, -1.221300e-03
-1.172640000000e-04, -2.442599e-03
-1.162080000000e-04, -1.221300e-03
-1.151520000000e-04, -1.221300e-03
-1.140960000000e-04, -2.442599e-03
-1.130400000000e-04, -1.221300e-03
-1.119840000000e-04, -1.221300e-03
-1.109280000000e-04, -1.221300e-03
