% Moku:Go Frequency Response Analyzer
% Measurement mode: In / Out (dB)
% Channel 1 (on), DC, 30 MHz, 1 MOhm, 10 Vpp, amplitude 100 mVpp (on), offset 0.000 0 V (off), phase 0.000 deg
% Channel 2 (off), DC, 30 MHz, 1 MOhm, 10 Vpp, amplitude 100 mVpp (on), offset 0.000 0 V (off), phase 0.000 deg
% Logarithmic sweep from 750.7100 Hz to 897.0110 Hz with 2,048 pts, dynamic amplitude mode off, measuring fundamental, delay compensation 935.0 ns (auto), normalization off
% Averaging time 1.00 us, 3 cycles; Settling time 10.0 us, 3 cycles
% 
% Acquired 2026-04-30 T 14:57:20 +0200
% Frequency (Hz), Channel 1 Magnitude (dB), Channel 1 Phase (deg)
8.05672973e+02, -1.0044e+01, -1.4614e+02
8.05701438e+02, -1.1112e+01, -1.4075e+02
8.05729905e+02, -1.0611e+01, -1.4441e+02
8.05758373e+02, -9.9866e+00, -1.4596e+02
8.05786842e+02, -1.3285e+01, -1.8072e+02
8.05815311e+02, -9.7309e+00, -1.4701e+02
8.05843782e+02, -1.0667e+01, -1.4324e+02
8.05872254e+02, -1.0752e+01, -1.4142e+02
8.05900727e+02, -1.0129e+01, -1.4650e+02
8.05929200e+02, -1.0742e+01, -1.4146e+02
8.05957675e+02, -1.0557e+01, -1.4379e+02
8.05986151e+02, -1.0436e+01, -1.4633e+02
8.06014628e+02, -1.0642e+01, -1.4132e+02
8.06043105e+02, -1.0291e+01, -1.4387e+02
8.06071584e+02, -1.0746e+01, -1.4353e+02
8.06100064e+02, -1.0535e+01, -1.4406e+02
8.06128545e+02, -9.9580e+00, -1.4472e+02
8.06157027e+02, -1.0691e+01, -1.4264e+02
8.06185509e+02, -1.0525e+01, -1.4500e+02
8.06213993e+02, -1.0086e+01, -1.4321e+02
8.06242478e+02, -1.0681e+01, -1.4299e+02
8.06270964e+02, -1.0079e+01, -1.4488e+02
8.06299451e+02, -1.0157e+01, -1.4294e+02
8.06327938e+02, -1.0812e+01, -1.4277e+02
8.06356427e+02, -9.9836e+00, -1.4520e+02
8.06384917e+02, -1.1391e+01, -1.4262e+02
8.06413408e+02, -1.0711e+01, -1.4262e+02
8.06441900e+02, -9.9864e+00, -1.4572e+02
8.06470393e+02, -1.0336e+01, -1.4208e+02
8.06498887e+02, -9.8780e+00, -1.4373e+02
8.06527382e+02, -1.0288e+01, -1.4312e+02
8.06555877e+02, -1.0735e+01, -1.4028e+02
8.06584374e+02, -1.0271e+01, -1.5018e+02
8.06612872e+02, -1.0409e+01, -1.4560e+02
8.06641371e+02, -9.7893e+00, -1.4395e+02
8.06669871e+02, -1.3493e+01, -1.5711e+02
8.06698372e+02, -1.0393e+01, -1.4121e+02
8.06726874e+02, -1.0243e+01, -1.4503e+02
8.06755377e+02, -1.0237e+01, -1.4332e+02
8.06783881e+02, -1.0539e+01, -1.4380e+02
8.06812386e+02, -9.4201e+00, -1.4526e+02
8.06840892e+02, -1.0225e+01, -1.4159e+02
8.06869399e+02, -1.0640e+01, -1.4345e+02
8.06897907e+02, -9.6127e+00, -1.4631e+02
8.06926416e+02, -1.0704e+01, -1.4208e+02
8.06954926e+02, -9.1450e+00, -1.2021e+02
8.06983437e+02, -9.2476e+00, -1.4027e+02
8.07011949e+02, -1.1629e+01, -1.6857e+02
8.07040462e+02, -9.9524e+00, -1.4630e+02
8.07068976e+02, -1.0194e+01, -1.4520e+02
8.07097491e+02, -1.0098e+01, -1.4197e+02
8.07126007e+02, -9.6378e+00, -1.4622e+02
8.07154524e+02, -1.0043e+01, -1.4184e+02
8.07183042e+02, -1.0095e+01, -1.4366e+02
8.07211561e+02, -1.0190e+01, -1.4524e+02
8.07240081e+02, -9.7295e+00, -1.3768e+02
8.07268602e+02, -9.7385e+00, -1.4495e+02
8.07297124e+02, -1.0097e+01, -1.4257e+02
8.07325647e+02, -1.0103e+01, -1.4313e+02
8.07354171e+02, -9.7354e+00, -1.4488e+02
8.07382696e+02, -1.0804e+01, -1.4419e+02
8.07411222e+02, -1.0336e+01, -1.4534e+02
8.07439750e+02, -9.4422e+00, -1.4607e+02
8.07468278e+02, -1.0019e+01, -1.4247e+02
8.07496807e+02, -9.7615e+00, -1.4438e+02
8.07525337e+02, -9.9280e+00, -1.4442e+02
8.07553868e+02, -1.0251e+01, -1.4258e+02
8.07582400e+02, -9.8744e+00, -1.4684e+02
8.07610933e+02, -9.8345e+00, -1.4285e+02
8.07639468e+02, -9.7131e+00, -1.4183e+02
8.07668003e+02, -1.0232e+01, -1.6776e+02
8.07696539e+02, -1.0308e+01, -1.4348e+02
8.07725076e+02, -9.7107e+00, -1.4560e+02
8.07753614e+02, -9.7903e+00, -1.4441e+02
8.07782154e+02, -9.9873e+00, -1.4403e+02
8.07810694e+02, -9.3342e+00, -1.4418e+02
8.07839235e+02, -6.7855e+00, -1.4233e+02
8.07867777e+02, -1.0139e+01, -1.4515e+02
8.07896321e+02, -9.2302e+00, -1.4658e+02
8.07924865e+02, -1.0057e+01, -1.4304e+02
8.07953410e+02, -9.5663e+00, -1.4545e+02
8.07981956e+02, -9.2445e+00, -1.4439e+02
8.08010504e+02, -1.0120e+01, -1.3994e+02
8.08039052e+02, -9.5971e+00, -1.4647e+02
8.08067601e+02, -9.8314e+00, -1.4511e+02
8.08096152e+02, -9.8730e+00, -1.4265e+02
8.08124703e+02, -8.1621e+00, -1.7108e+02
8.08153255e+02, -9.3614e+00, -1.4097e+02
8.08181808e+02, -9.6609e+00, -1.4398e+02
8.08210363e+02, -9.7555e+00, -1.4532e+02
8.08238918e+02, -9.1267e+00, -1.2008e+02
8.08267475e+02, -9.4156e+00, -1.4524e+02
8.08296032e+02, -9.5539e+00, -1.4290e+02
8.08324590e+02, -9.7777e+00, -1.4370e+02
8.08353150e+02, -9.2528e+00, -1.4381e+02
8.08381710e+02, -9.9641e+00, -1.4267e+02
8.08410271e+02, -1.4261e+01, -1.3973e+02
8.08438834e+02, -9.0708e+00, -1.4520e+02
8.08467397e+02, -9.7553e+00, -1.4246e+02
8.08495962e+02, -9.5198e+00, -1.4438e+02
8.08524527e+02, -9.5170e+00, -1.4488e+02
8.08553094e+02, -1.0148e+01, -1.3723e+02
8.08581661e+02, -9.3033e+00, -1.4696e+02
8.08610230e+02, -9.6319e+00, -1.4371e+02
8.08638799e+02, -9.2300e+00, -1.4327e+02
8.08667370e+02, -9.3353e+00, -1.4474e+02
8.08695941e+02, -9.8610e+00, -1.4376e+02
