% Moku:Go Oscilloscope
% Channel A (on)
% Channel B (off)
% Time span 1.000 ms, time offset 0.000 s, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output A (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output B (off) - Square, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, duty cycle 50.00 %
% 
% Acquired 2026-04-30 T 15:35:36 +0200
% Time (s), Channel A (Input A) (V)
-2.455680000000e-04, 2.076209e-02
-2.445120000000e-04, 2.076209e-02
-2.434560000000e-04, 2.076209e-02
-2.424000000000e-04, 2.076209e-02
-2.413440000000e-04, 2.076209e-02
-2.402880000000e-04, 2.076209e-02
-2.392320000000e-04, 2.076209e-02
-2.381760000000e-04, 2.076209e-02
-2.371200000000e-04, 2.076209e-02
-2.360640000000e-04, 2.076209e-02
-2.350080000000e-04, 2.076209e-02
-2.339520000000e-04, 1.954079e-02
-2.328960000000e-04, 2.076209e-02
-2.318400000000e-04, 2.076209e-02
-2.307840000000e-04, 2.076209e-02
-2.297280000000e-04, 2.076209e-02
-2.286720000000e-04, 1.954079e-02
-2.276160000000e-04, 2.076209e-02
-2.265600000000e-04, 2.076209e-02
-2.255040000000e-04, 2.076209e-02
-2.244480000000e-04, 2.076209e-02
-2.233920000000e-04, 2.076209e-02
-2.223360000000e-04, 1.954079e-02
-2.212800000000e-04, 1.954079e-02
-2.202240000000e-04, 2.076209e-02
-2.191680000000e-04, 2.076209e-02
-2.181120000000e-04, 2.076209e-02
-2.170560000000e-04, 2.076209e-02
-2.160000000000e-04, 2.076209e-02
-2.149440000000e-04, 2.076209e-02
-2.138880000000e-04, 2.076209e-02
-2.128320000000e-04, 2.076209e-02
-2.117760000000e-04, 2.076209e-02
-2.107200000000e-04, 2.076209e-02
-2.096640000000e-04, 1.954079e-02
-2.086080000000e-04, 2.076209e-02
-2.075520000000e-04, 2.076209e-02
-2.064960000000e-04, 2.076209e-02
-2.054400000000e-04, 2.076209e-02
-2.043840000000e-04, 2.076209e-02
-2.033280000000e-04, 1.954079e-02
-2.022720000000e-04, 1.954079e-02
-2.012160000000e-04, 2.076209e-02
-2.001600000000e-04, 2.076209e-02
-1.991040000000e-04, 2.076209e-02
-1.980480000000e-04, 2.076209e-02
-1.969920000000e-04, 2.198339e-02
-1.959360000000e-04, 2.076209e-02
-1.948800000000e-04, 2.198339e-02
-1.938240000000e-04, 2.198339e-02
-1.927680000000e-04, 2.198339e-02
-1.917120000000e-04, 2.076209e-02
-1.906560000000e-04, 2.198339e-02
-1.896000000000e-04, 2.198339e-02
-1.885440000000e-04, 2.198339e-02
-1.874880000000e-04, 2.198339e-02
-1.864320000000e-04, 2.198339e-02
-1.853760000000e-04, 2.198339e-02
-1.843200000000e-04, 2.320469e-02
-1.832640000000e-04, 2.320469e-02
-1.822080000000e-04, 2.320469e-02
-1.811520000000e-04, 2.442599e-02
-1.800960000000e-04, 2.320469e-02
-1.790400000000e-04, 2.198339e-02
-1.779840000000e-04, 2.320469e-02
-1.769280000000e-04, 2.320469e-02
-1.758720000000e-04, 2.320469e-02
-1.748160000000e-04, 2.320469e-02
-1.737600000000e-04, 2.320469e-02
-1.727040000000e-04, 2.320469e-02
-1.716480000000e-04, 2.320469e-02
-1.705920000000e-04, 2.320469e-02
-1.695360000000e-04, 2.320469e-02
-1.684800000000e-04, 2.320469e-02
-1.674240000000e-04, 2.076209e-02
-1.663680000000e-04, 2.198339e-02
-1.653120000000e-04, 2.198339e-02
-1.642560000000e-04, 2.198339e-02
-1.632000000000e-04, 2.320469e-02
-1.621440000000e-04, 2.076209e-02
-1.610880000000e-04, 2.198339e-02
-1.600320000000e-04, 2.076209e-02
-1.589760000000e-04, 2.198339e-02
-1.579200000000e-04, 2.198339e-02
-1.568640000000e-04, 2.198339e-02
-1.558080000000e-04, 2.076209e-02
-1.547520000000e-04, 2.076209e-02
-1.536960000000e-04, 2.076209e-02
-1.526400000000e-04, 2.076209e-02
-1.515840000000e-04, 2.198339e-02
-1.505280000000e-04, 2.076209e-02
-1.494720000000e-04, 2.076209e-02
-1.484160000000e-04, 2.076209e-02
-1.473600000000e-04, 2.076209e-02
-1.463040000000e-04, 2.076209e-02
-1.452480000000e-04, 2.076209e-02
-1.441920000000e-04, 2.076209e-02
-1.431360000000e-04, 2.076209e-02
-1.420800000000e-04, 2.076209e-02
-1.410240000000e-04, 2.198339e-02
-1.399680000000e-04, 2.076209e-02
-1.389120000000e-04, 2.076209e-02
-1.378560000000e-04, 2.076209e-02
-1.368000000000e-04, 2.076209e-02
-1.357440000000e-04, 2.076209e-02
-1.346880000000e-04, 2.076209e-02
-1.336320000000e-04, 2.198339e-02
-1.325760000000e-04, 2.076209e-02
-1.315200000000e-04, 2.076209e-02
-1.304640000000e-04, 2.076209e-02
-1.294080000000e-04, 2.076209e-02
-1.283520000000e-04, 2.076209e-02
-1.272960000000e-04, 2.076209e-02
-1.262400000000e-04, 2.076209e-02
-1.251840000000e-04, 2.076209e-02
-1.241280000000e-04, 2.076209e-02
-1.230720000000e-04, 2.198339e-02
-1.220160000000e-04, 2.076209e-02
-1.209600000000e-04, 2.076209e-02
-1.199040000000e-04, 2.076209e-02
-1.188480000000e-04, 2.076209e-02
-1.177920000000e-04, 2.076209e-02
-1.167360000000e-04, 2.076209e-02
-1.156800000000e-04, 2.198339e-02
-1.146240000000e-04, 2.198339e-02
-1.135680000000e-04, 2.076209e-02
-1.125120000000e-04, 2.076209e-02
-1.114560000000e-04, 2.076209e-02
-1.104000000000e-04, 2.076209e-02
-1.093440000000e-04, 2.076209e-02
-1.082880000000e-04, 2.076209e-02
-1.072320000000e-04, 2.198339e-02
-1.061760000000e-04, 2.076209e-02
-1.051200000000e-04, 2.076209e-02
-1.040640000000e-04, 2.198339e-02
-1.030080000000e-04, 2.076209e-02
-1.019520000000e-04, 2.076209e-02
-1.008960000000e-04, 2.076209e-02
-9.984000000000e-05, 2.076209e-02
-9.878400000000e-05, 2.076209e-02
-9.772800000000e-05, 2.076209e-02
-9.667200000000e-05, 2.076209e-02
-9.561600000000e-05, 2.076209e-02
-9.456000000000e-05, 2.076209e-02
-9.350400000000e-05, 2.076209e-02
-9.244800000000e-05, 2.076209e-02
-9.139200000000e-05, 2.198339e-02
-9.033600000000e-05, 2.076209e-02
-8.928000000000e-05, 2.076209e-02
-8.822400000000e-05, 2.198339e-02
-8.716800000000e-05, 2.198339e-02
-8.611200000000e-05, 2.076209e-02
-8.505600000000e-05, 2.198339e-02
-8.400000000000e-05, 2.320469e-02
-8.294400000000e-05, 2.198339e-02
-8.188800000000e-05, 2.076209e-02
-8.083200000000e-05, 2.198339e-02
-7.977600000000e-05, 2.320469e-02
-7.872000000000e-05, 2.198339e-02
-7.766400000000e-05, 2.198339e-02
-7.660800000000e-05, 2.076209e-02
-7.555200000000e-05, 2.198339e-02
-7.449600000000e-05, 2.198339e-02
-7.344000000000e-05, 2.076209e-02
-7.238400000000e-05, 2.076209e-02
-7.132800000000e-05, 2.076209e-02
-7.027200000000e-05, 2.198339e-02
-6.921600000000e-05, 2.320469e-02
-6.816000000000e-05, 2.320469e-02
-6.710400000000e-05, 2.076209e-02
-6.604800000000e-05, 2.198339e-02
-6.499200000000e-05, 2.076209e-02
-6.393600000000e-05, 2.076209e-02
-6.288000000000e-05, 2.198339e-02
-6.182400000000e-05, 2.076209e-02
-6.076800000000e-05, 2.320469e-02
-5.971200000000e-05, 2.198339e-02
-5.865600000000e-05, 2.076209e-02
-5.760000000000e-05, 2.076209e-02
-5.654400000000e-05, 2.320469e-02
-5.548800000000e-05, 2.198339e-02
-5.443200000000e-05, 2.198339e-02
-5.337600000000e-05, 2.076209e-02
-5.232000000000e-05, 2.320469e-02
-5.126400000000e-05, 2.320469e-02
-5.020800000000e-05, 2.320469e-02
-4.915200000000e-05, 2.320469e-02
-4.809600000000e-05, 2.320469e-02
-4.704000000000e-05, 2.198339e-02
-4.598400000000e-05, 2.076209e-02
-4.492800000000e-05, 2.320469e-02
-4.387200000000e-05, 2.198339e-02
-4.281600000000e-05, 2.076209e-02
-4.176000000000e-05, 2.198339e-02
-4.070400000000e-05, 2.320469e-02
-3.964800000000e-05, 2.320469e-02
-3.859200000000e-05, 2.320469e-02
-3.753600000000e-05, 2.198339e-02
-3.648000000000e-05, 2.198339e-02
-3.542400000000e-05, 2.320469e-02
-3.436800000000e-05, 2.076209e-02
-3.331200000000e-05, 2.198339e-02
-3.225600000000e-05, 2.198339e-02
-3.120000000000e-05, 2.320469e-02
-3.014400000000e-05, 2.198339e-02
-2.908800000000e-05, 2.198339e-02
-2.803200000000e-05, 2.320469e-02
-2.697600000000e-05, 2.198339e-02
-2.592000000000e-05, 2.198339e-02
-2.486400000000e-05, 2.320469e-02
