% Moku:Go Spectrum Analyzer
% Input 1 (on), AC, 30 MHz, 1 MOhm, 10 Vpp
% Input 2 (off), AC, 30 MHz, 1 MOhm, 10 Vpp
% Start freq 400 Hz, stop freq 600 Hz, RBW 977.5 mHz (Auto mode), Hann window, Video filter off
% Averaging: 1 spectra per frame, 10 frame averages
% Output 1 (on) - 500.000 000 Hz, 1.000 Vpp
% Output 2 (off) - 20.000 000 000 000 MHz, 1.000 Vpp
% 
% Acquired 2026-04-30 T 13:18:33 +0200
% Frequency (Hz), Input 1 (dBm)
4.978819439809e+02, -3.881918e+01
4.980806261301e+02, -4.828430e+01
4.982793082794e+02, -3.077218e+01
4.984779904286e+02, -2.750666e+01
4.986766725779e+02, -4.237181e+01
4.988753547271e+02, -1.901184e+01
4.990740368764e+02, -9.435984e+00
4.992727190256e+02, -3.665658e+00
4.994714011749e+02, 1.337964e-01
4.996700833241e+02, 2.530080e+00
4.998687654734e+02, 3.762204e+00
5.000674476226e+02, 3.930031e+00
5.002661297719e+02, 3.046025e+00
5.004648119211e+02, 1.041068e+00
5.006634940704e+02, -2.268098e+00
5.008621762196e+02, -7.304773e+00
5.010608583689e+02, -1.524919e+01
5.012595405181e+02, -3.395936e+01
5.014582226674e+02, -2.837217e+01
5.016569048166e+02, -2.888366e+01
5.018555869659e+02, -3.879704e+01
5.020542691151e+02, -4.169132e+01
5.022529512644e+02, -3.758308e+01
5.024516334136e+02, -4.316509e+01
5.026503155629e+02, -5.571536e+01
5.028489977121e+02, -4.467294e+01
5.030476798614e+02, -4.715301e+01
5.032463620106e+02, -7.180458e+01
5.034450441599e+02, -5.118985e+01
5.036437263091e+02, -5.090348e+01
5.038424084584e+02, -6.187122e+01
5.040410906076e+02, -5.780179e+01
5.042397727569e+02, -5.449373e+01
5.044384549061e+02, -6.069329e+01
5.046371370554e+02, -6.606924e+01
5.048358192046e+02, -5.840425e+01
5.050345013539e+02, -6.176293e+01
5.052331835032e+02, -7.733271e+01
5.054318656524e+02, -6.187017e+01
5.056305478017e+02, -6.247277e+01
5.058292299509e+02, -7.601409e+01
5.060279121002e+02, -6.714288e+01
5.062265942494e+02, -6.494486e+01
5.064252763987e+02, -7.270638e+01
5.066239585479e+02, -7.265466e+01
5.068226406972e+02, -6.713745e+01
5.070213228464e+02, -7.153193e+01
5.072200049957e+02, -8.267465e+01
5.074186871449e+02, -7.026892e+01
5.076173692942e+02, -7.215592e+01
5.078160514434e+02, -8.256828e+01
5.080147335927e+02, -7.306138e+01
5.082134157419e+02, -7.273498e+01
5.084120978912e+02, -7.965095e+01
5.086107800404e+02, -7.757885e+01
5.088094621897e+02, -7.400757e+01
5.090081443389e+02, -7.800204e+01
5.092068264882e+02, -8.044986e+01
5.094055086374e+02, -7.705537e+01
5.096041907867e+02, -8.009951e+01
5.098028729359e+02, -8.043730e+01
5.100015550852e+02, -7.683676e+01
5.102002372344e+02, -7.759690e+01
5.103989193837e+02, -8.245916e+01
5.105976015329e+02, -7.895880e+01
5.107962836822e+02, -7.769883e+01
5.109949658314e+02, -8.137138e+01
5.111936479807e+02, -8.545188e+01
5.113923301299e+02, -8.291080e+01
5.115910122792e+02, -8.398927e+01
5.117896944284e+02, -8.296701e+01
5.119883765777e+02, -7.997530e+01
5.121870587269e+02, -8.118014e+01
5.123857408762e+02, -8.818266e+01
5.125844230254e+02, -8.488298e+01
5.127831051747e+02, -8.459003e+01
5.129817873240e+02, -8.739735e+01
5.131804694732e+02, -8.718170e+01
5.133791516225e+02, -8.574821e+01
5.135778337717e+02, -8.662879e+01
5.137765159210e+02, -8.221861e+01
5.139751980702e+02, -8.000488e+01
5.141738802195e+02, -7.967285e+01
5.143725623687e+02, -8.035869e+01
5.145712445180e+02, -8.124381e+01
5.147699266672e+02, -8.247951e+01
5.149686088165e+02, -8.225230e+01
5.151672909657e+02, -8.078070e+01
5.153659731150e+02, -8.052632e+01
5.155646552642e+02, -8.206326e+01
